date,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over
2020-03-16,Singularity,Espada,0,2340328,5247,3,123412,Train,Inferno,0.0,Vertigo,Overpass,0.0,Nuke,Mirage,Dust2
2020-03-16,GODSENT,Vitality,1,2340063,5226,3,123412,Mirage,Overpass,0.0,Train,Inferno,0.0,Vertigo,Nuke,Dust2
2020-03-16,NiP,Astralis,1,2340065,5226,3,123412,Dust2,Nuke,0.0,Mirage,Inferno,0.0,Vertigo,Overpass,Train
2020-03-15,TeamOne,Big Frames,0,2340313,5151,1,121212,Overpass,Inferno,Mirage,Train,Vertigo,Dust2,0.0,0.0,Nuke
2020-03-15,Swole Identity,Mythic,0,2339757,5151,1,121212,Overpass,Vertigo,Nuke,Train,Inferno,Mirage,0.0,0.0,Dust2
2020-03-15,Airborne,I sleep,1,2340430,5248,3,123412,Train,Inferno,0.0,Mirage,Dust2,0.0,Overpass,Nuke,Vertigo
2020-03-15,Thunder Logic,Swole Identity,0,2340243,5151,1,121212,Inferno,Vertigo,Train,Nuke,Dust2,Mirage,0.0,0.0,Overpass
2020-03-15,Oceanus,Chaos,1,2340425,5151,1,121212,Inferno,Overpass,Mirage,Nuke,Train,Vertigo,0.0,0.0,Dust2
2020-03-15,Orgless,Dignitas,0,2340338,5242,3,123412,Vertigo,Dust2,0.0,Mirage,Overpass,0.0,Train,Nuke,Inferno
2020-03-15,In The Lab,Thunder Logic,1,2340388,5151,1,121212,Overpass,Vertigo,Nuke,Train,Inferno,Dust2,0.0,0.0,Mirage
2020-03-15,Incept,I sleep,1,2340436,5248,3,123412,Nuke,Overpass,0.0,Train,Mirage,0.0,Dust2,Vertigo,Inferno
2020-03-15,Endpoint,Tricked,0,2340329,5247,3,123412,Nuke,Inferno,0.0,Vertigo,Overpass,0.0,Dust2,Train,Mirage
2020-03-15,FunPlus Phoenix,Cloud9,0,2340337,5242,3,123412,Dust2,Overpass,0.0,Mirage,Vertigo,0.0,Nuke,Train,Inferno
2020-03-15,Chaos,Big Frames,1,2340024,5151,1,121212,Mirage,Dust2,Vertigo,Train,Nuke,Inferno,0.0,0.0,Overpass
2020-03-14,Paradox,ORDER,1,2340282,5236,3,123412,Nuke,Train,0.0,Overpass,Dust2,0.0,Inferno,Vertigo,Mirage
2020-03-14,TeamOne,Rugratz,0,2340309,5151,1,121212,Mirage,Inferno,Vertigo,Dust2,Train,Nuke,0.0,0.0,Overpass
2020-03-14,Chaos,TeamOne,0,2340022,5151,1,121212,Train,Dust2,Nuke,Mirage,Overpass,Vertigo,0.0,0.0,Inferno
2020-03-14,Triumph,Chaos,0,2340045,5151,1,121212,Train,Mirage,Inferno,Overpass,Vertigo,Dust2,0.0,0.0,Nuke
2020-03-14,Under 21,Bad News Bears,1,2340312,5151,1,121212,Overpass,Train,Vertigo,Mirage,Nuke,Inferno,0.0,0.0,Dust2
2020-03-14,Triumph,Bad News Bears,1,2340311,5151,1,121212,Train,Mirage,Dust2,Overpass,Vertigo,Nuke,0.0,0.0,Inferno
2020-03-14,EGOBOYZ,Infamous,0,2340429,5244,3,123412,Train,Dust2,0.0,Vertigo,Nuke,0.0,Mirage,Inferno,Overpass
2020-03-14,Infamous,Supremacy,1,2340433,5244,3,123412,Inferno,Nuke,0.0,Overpass,Vertigo,0.0,Dust2,Mirage,Train
2020-03-14,Envy,Gen.G,1,2340339,5242,3,123412,Nuke,Vertigo,0.0,Overpass,Dust2,0.0,Train,Inferno,Mirage
2020-03-14,Imperial,Reapers,0,2340431,5245,3,123412,Vertigo,Nuke,0.0,Overpass,Dust2,0.0,Train,Mirage,Inferno
2020-03-14,Station7,Mythic,1,2340434,5151,1,121212,Vertigo,Overpass,Nuke,Train,Mirage,Inferno,0.0,0.0,Dust2
2020-03-14,MIBR,Chaos,1,2340340,5242,3,123412,Mirage,Dust2,0.0,Vertigo,Overpass,0.0,Train,Nuke,Inferno
2020-03-13,TeamOne,Mythic,0,2340295,5151,1,121212,Vertigo,Inferno,Mirage,Nuke,Train,Dust2,0.0,0.0,Overpass
2020-03-13,Triumph,Monstars,0,2340300,5151,1,121212,Mirage,Train,Inferno,Nuke,Vertigo,Dust2,0.0,0.0,Overpass
2020-03-13,Bad News Bears,Swole Identity,1,2340297,5151,1,121212,Overpass,Mirage,Vertigo,Inferno,Nuke,Train,0.0,0.0,Dust2
2020-03-13,District 7,Swole Patrol,0,2340298,5151,1,121212,Vertigo,Dust2,Overpass,Mirage,Inferno,Train,0.0,0.0,Nuke
2020-03-13,Chaos,New England Whalers,0,2339764,5151,1,121212,Dust2,Overpass,Train,Mirage,Vertigo,Inferno,0.0,0.0,Nuke
2020-03-13,Divine,Station7,0,2340296,5151,1,121212,Train,Vertigo,Inferno,Nuke,Dust2,Overpass,0.0,0.0,Mirage
2020-03-13,Mythic,Under 21,1,2340299,5151,1,121212,Nuke,Inferno,Dust2,Overpass,Train,Vertigo,0.0,0.0,Mirage
2020-03-13,Oceanus,Bad News Bears,1,2340304,5151,1,121212,Inferno,Dust2,Overpass,Train,Nuke,Vertigo,0.0,0.0,Mirage
2020-03-13,In The Lab,Triumph,1,2340302,5151,1,121212,Overpass,Vertigo,Nuke,Train,Mirage,Dust2,0.0,0.0,Inferno
2020-03-13,Thunder Logic,Rugratz,0,2340385,5151,1,121212,Train,Vertigo,Overpass,Dust2,Inferno,Nuke,0.0,0.0,Mirage
2020-03-13,Under 21,Swole Patrol,1,2340301,5151,1,121212,Overpass,Vertigo,Train,Mirage,Inferno,Dust2,0.0,0.0,Nuke
2020-03-13,Big Frames,Swole Identity,1,2340041,5151,1,121212,Vertigo,Nuke,Train,Mirage,Dust2,Overpass,0.0,0.0,Inferno
2020-03-13,Mythic,District 7,1,2340305,5151,1,121212,Nuke,Train,Inferno,Dust2,Vertigo,Overpass,0.0,0.0,Mirage
2020-03-13,Copenhagen Flames,c0ntact,0,2340336,5242,3,123412,Dust2,Vertigo,0.0,Overpass,Inferno,0.0,Nuke,Mirage,Train
2020-03-13,Neverest,Reapers,1,2340389,5245,3,123412,Train,Nuke,0.0,Overpass,Dust2,0.0,Vertigo,Mirage,Inferno
2020-03-13,In The Lab,TeamOne,1,2340308,5151,1,121212,Overpass,Nuke,Vertigo,Inferno,Mirage,Train,0.0,0.0,Dust2
2020-03-13,Swole Patrol,Oceanus,1,2340386,5151,1,121212,Mirage,Dust2,Train,Inferno,Overpass,Vertigo,0.0,0.0,Nuke
2020-03-13,HAVU,MAD Lions,1,2340335,5242,3,123412,Inferno,Vertigo,0.0,Dust2,Overpass,0.0,Nuke,Mirage,Train
2020-03-13,New England Whalers,TeamOne,0,2340043,5151,1,121212,Dust2,Train,Vertigo,Overpass,Inferno,Mirage,0.0,0.0,Nuke
2020-03-13,Big Frames,Divine,1,2340307,5151,1,121212,Train,Dust2,Mirage,Nuke,Vertigo,Inferno,0.0,0.0,Overpass
2020-03-13,Chaos,Thunder Logic,0,2340306,5151,1,121212,Train,Mirage,Dust2,Overpass,Inferno,Vertigo,0.0,0.0,Nuke
2020-03-13,District 7,Divine,0,2340303,5151,1,121212,Dust2,Inferno,Vertigo,Nuke,Train,Overpass,0.0,0.0,Mirage
2020-03-12,Divine,Rugratz,1,2340272,5151,1,121212,Nuke,Train,Vertigo,Dust2,Inferno,Overpass,0.0,0.0,Mirage
2020-03-12,Big Frames,In The Lab,1,2340275,5151,1,121212,Train,Vertigo,Inferno,Overpass,Nuke,Dust2,0.0,0.0,Mirage
2020-03-12,Chaos,District 7,1,2340034,5151,1,121212,Train,Overpass,Vertigo,Dust2,Nuke,Inferno,0.0,0.0,Mirage
2020-03-12,Under 21,Triumph,1,2340035,5151,1,121212,Overpass,Dust2,Vertigo,Mirage,Train,Nuke,0.0,0.0,Inferno
2020-03-12,Mythic,Recon 5,0,2340273,5151,1,121212,Train,Nuke,Inferno,Overpass,Dust2,Mirage,0.0,0.0,Vertigo
2020-03-12,TeamOne,Oceanus,1,2340248,5151,1,121212,Vertigo,Mirage,Overpass,Inferno,Nuke,Train,0.0,0.0,Dust2
2020-03-12,Big Frames,Station7,1,2340033,5151,1,121212,Inferno,Dust2,Train,Nuke,Vertigo,Mirage,0.0,0.0,Overpass
2020-03-12,Swole Identity,Chaos,1,2340271,5151,1,121212,Nuke,Overpass,Inferno,Train,Vertigo,Mirage,0.0,0.0,Dust2
2020-03-12,Infinity,Chaos,1,2340029,5151,1,121212,Mirage,Nuke,Vertigo,Train,Overpass,Inferno,0.0,0.0,Dust2
2020-03-12,Bad News Bears,TeamOne,0,2340031,5151,1,121212,Train,Overpass,Mirage,Inferno,Vertigo,Dust2,0.0,0.0,Nuke
2020-03-12,In The Lab,Infinity,0,2340269,5151,1,121212,Overpass,Inferno,Vertigo,Nuke,Train,Dust2,0.0,0.0,Mirage
2020-03-12,Swole Patrol,Triumph,1,2340270,5151,1,121212,Mirage,Inferno,Dust2,Nuke,Train,Overpass,0.0,0.0,Vertigo
2020-03-12,Divine,Swole Identity,1,2340030,5151,1,121212,Train,Vertigo,Nuke,Dust2,Mirage,Inferno,0.0,0.0,Overpass
2020-03-12,Under 21,Recon 5,0,2340037,5151,1,121212,Vertigo,Train,Inferno,Mirage,Overpass,Dust2,0.0,0.0,Nuke
2020-03-12,Swole Patrol,In The Lab,0,2340268,5151,1,121212,Dust2,Mirage,Train,Nuke,Inferno,Vertigo,0.0,0.0,Overpass
2020-03-12,Oceanus,Rugratz,1,2340247,5151,1,121212,Overpass,Inferno,Nuke,Dust2,Vertigo,Train,0.0,0.0,Mirage
2020-03-12,TeamOne,Divine,1,2340274,5151,1,121212,Inferno,Vertigo,Mirage,Nuke,Train,Overpass,0.0,0.0,Dust2
2020-03-12,New England Whalers,Bad News Bears,1,2340032,5151,1,121212,Dust2,Vertigo,Train,Nuke,Overpass,Mirage,0.0,0.0,Inferno
2020-03-12,District 7,Thunder Logic,0,2340276,5151,1,121212,Overpass,Dust2,Nuke,Vertigo,Inferno,Train,0.0,0.0,Mirage
2020-03-12,Wisla Krakow,HellRaisers,1,2340288,5150,1,121212,Vertigo,Overpass,Inferno,Nuke,Train,Mirage,0.0,0.0,Dust2
2020-03-12,Spirit,Illuminar,1,2340294,5150,1,121212,Overpass,Nuke,Vertigo,Dust2,Inferno,Mirage,0.0,0.0,Train
2020-03-12,Singularity,HellRaisers,1,2339891,5150,1,121212,Inferno,Train,Mirage,Nuke,Vertigo,Overpass,0.0,0.0,Dust2
2020-03-12,Station7,New England Whalers,1,2340036,5151,1,121212,Nuke,Vertigo,Train,Mirage,Dust2,Overpass,0.0,0.0,Inferno
2020-03-12,pro100,PACT,1,2339641,5150,1,121212,Nuke,Vertigo,Train,Mirage,Overpass,Dust2,0.0,0.0,Inferno
2020-03-12,Nemiga,Spirit,1,2340292,5150,1,121212,Train,Mirage,Dust2,Overpass,Vertigo,Nuke,0.0,0.0,Inferno
2020-03-12,Nordavind,Sprout,1,2340291,5150,1,121212,Train,Inferno,Nuke,Overpass,Vertigo,Mirage,0.0,0.0,Dust2
2020-03-12,HellRaisers,Unicorns of Love,1,2340290,5150,1,121212,Train,Nuke,Vertigo,Overpass,Inferno,Mirage,0.0,0.0,Dust2
2020-03-12,Nordavind,Spirit,1,2340327,5150,1,121212,Train,Nuke,Dust2,Overpass,Mirage,Vertigo,0.0,0.0,Inferno
2020-03-12,BIG,Japaleno,1,2340293,5150,1,121212,Train,Dust2,Overpass,Nuke,Vertigo,Mirage,0.0,0.0,Inferno
2020-03-12,Rooster,Paradox,0,2340203,5228,3,123412,Dust2,Vertigo,0.0,Nuke,Overpass,0.0,Mirage,Train,Inferno
2020-03-12,Ground Zero,ORDER,1,2339951,5152,1,121212,Train,Vertigo,Dust2,Overpass,Nuke,Mirage,0.0,0.0,Inferno
2020-03-12,Skyfire,Chiefs,1,2340191,5152,1,121212,Nuke,Dust2,Train,Mirage,Overpass,Vertigo,0.0,0.0,Inferno
2020-03-12,VERTEX,I sleep,0,2340202,5228,3,123412,Vertigo,Train,0.0,Mirage,Overpass,0.0,Inferno,Dust2,Nuke
2020-03-12,Paradox,Incept,1,2340251,5152,1,121212,Nuke,Overpass,Vertigo,Train,Inferno,Mirage,0.0,0.0,Dust2
2020-03-12,TRIDENT,Rooster,1,2340324,5152,1,121212,Inferno,Nuke,Overpass,Dust2,Train,Vertigo,0.0,0.0,Mirage
2020-03-12,Skyfire,Ground Zero,1,2340277,5152,1,121212,Nuke,Dust2,Inferno,Train,Overpass,Vertigo,0.0,0.0,Mirage
2020-03-11,Rugratz,Big Frames,1,2340263,5151,1,121212,Dust2,Inferno,Overpass,Vertigo,Train,Mirage,0.0,0.0,Nuke
2020-03-11,LiViD,TeamOne,0,2340028,5151,1,121212,Overpass,Dust2,Vertigo,Inferno,Mirage,Train,0.0,0.0,Nuke
2020-03-11,Under 21,New England Whalers,0,2340027,5151,1,121212,Overpass,Train,Vertigo,Dust2,Mirage,Inferno,0.0,0.0,Nuke
2020-03-11,Recon 5,Big Frames,1,2340244,5151,1,121212,Mirage,Overpass,Dust2,Vertigo,Inferno,Train,0.0,0.0,Nuke
2020-03-11,Bad News Bears,Monstars,0,2340242,5151,1,121212,Mirage,Overpass,Train,Nuke,Dust2,Vertigo,0.0,0.0,Inferno
2020-03-11,Triumph,TeamOne,1,2340026,5151,1,121212,Train,Mirage,Nuke,Inferno,Vertigo,Overpass,0.0,0.0,Dust2
2020-03-11,Recon 5,LiViD,1,2339767,5151,1,121212,Overpass,Mirage,Inferno,Vertigo,Nuke,Dust2,0.0,0.0,Train
2020-03-11,Thunder Logic,Triumph,1,2340240,5151,1,121212,Vertigo,Nuke,Inferno,Mirage,Train,Dust2,0.0,0.0,Overpass
2020-03-11,Infinity,Under 21,1,2340025,5151,1,121212,Nuke,Dust2,Vertigo,Train,Overpass,Inferno,0.0,0.0,Mirage
2020-03-11,Monstars,New England Whalers,1,2340023,5151,1,121212,Nuke,Mirage,Vertigo,Train,Dust2,Inferno,0.0,0.0,Overpass
2020-03-11,ex-eUnited,Station7,1,2340241,5151,1,121212,Mirage,Dust2,Inferno,Train,Vertigo,Nuke,0.0,0.0,Overpass
2020-03-11,Divine,In The Lab,1,2340246,5151,1,121212,Nuke,Train,Vertigo,Overpass,Dust2,Mirage,0.0,0.0,Inferno
2020-03-11,Station7,Rugratz,0,2340239,5151,1,121212,Nuke,Train,Vertigo,Inferno,Dust2,Mirage,0.0,0.0,Overpass
2020-03-11,Formidable,PC419,1,2340250,5152,1,121212,Mirage,Vertigo,Dust2,Overpass,Train,Inferno,0.0,0.0,Nuke
2020-03-11,Recon 5,TeamOne,1,2340245,5151,1,121212,Overpass,Mirage,Dust2,Vertigo,Inferno,Train,0.0,0.0,Nuke
2020-03-11,pro100,GamerLegion,1,2340256,5150,1,121212,Nuke,Inferno,Overpass,Vertigo,Dust2,Train,0.0,0.0,Mirage
2020-03-11,Esper,I sleep,1,2340252,5152,1,121212,Dust2,Overpass,Vertigo,Train,Mirage,Nuke,0.0,0.0,Inferno
2020-03-11,Nordavind,Nemiga,1,2339755,5150,1,121212,Vertigo,Dust2,Train,Overpass,Mirage,Inferno,0.0,0.0,Nuke
2020-03-11,Paradox,Chiefs,1,2340254,5236,3,123412,Nuke,Vertigo,0.0,Overpass,Train,0.0,Mirage,Inferno,Dust2
2020-03-11,BIG,Demolition Crew,1,2340260,5150,1,121212,Train,Dust2,Nuke,Vertigo,Overpass,Inferno,0.0,0.0,Mirage
2020-03-11,Japaleno,Wisla Krakow,1,2340259,5150,1,121212,Train,Nuke,Mirage,Vertigo,Overpass,Inferno,0.0,0.0,Dust2
2020-03-11,Sprout,Movistar Riders,0,2340212,5150,1,121212,Overpass,Vertigo,Inferno,Dust2,Mirage,Train,0.0,0.0,Nuke
2020-03-11,Illuminar,BIG,0,2340257,5150,1,121212,Dust2,Inferno,Nuke,Train,Vertigo,Mirage,0.0,0.0,Overpass
2020-03-11,Spirit,Unicorns of Love,0,2340258,5150,1,121212,Vertigo,Nuke,Overpass,Mirage,Dust2,Train,0.0,0.0,Inferno
2020-03-11,Spirit,HellRaisers,0,2340255,5150,1,121212,Overpass,Inferno,Dust2,Nuke,Train,Mirage,0.0,0.0,Vertigo
2020-03-11,Nemiga,Illuminar,1,2339754,5150,1,121212,Train,Mirage,Overpass,Dust2,Inferno,Vertigo,0.0,0.0,Nuke
2020-03-11,PACT,Sprout,1,2339675,5150,1,121212,Mirage,Dust2,Inferno,Vertigo,Overpass,Nuke,0.0,0.0,Train
2020-03-11,PACT,Nordavind,1,2339997,5150,1,121212,Mirage,Dust2,Inferno,Train,Vertigo,Nuke,0.0,0.0,Overpass
2020-03-11,AVANT,ORDER,1,2340204,5236,3,123412,Vertigo,Mirage,0.0,Overpass,Nuke,0.0,Inferno,Train,Dust2
2020-03-11,TRIDENT,FURY,1,2340253,5152,1,121212,Overpass,Inferno,Nuke,Mirage,Train,Dust2,0.0,0.0,Vertigo
2020-03-11,Nemiga,AGO,1,2340262,5150,1,121212,Train,Mirage,Inferno,Overpass,Nuke,Dust2,0.0,0.0,Vertigo
2020-03-10,Under 21,Oceanus,0,2340232,5151,1,121212,Overpass,Train,Vertigo,Inferno,Mirage,Dust2,0.0,0.0,Nuke
2020-03-10,Thunder Logic,Bad News Bears,0,2340236,5151,1,121212,Train,Vertigo,Nuke,Mirage,Overpass,Dust2,0.0,0.0,Inferno
2020-03-10,ex-eUnited,Chaos,0,2340237,5151,1,121212,Mirage,Dust2,Inferno,Overpass,Train,Vertigo,0.0,0.0,Nuke
2020-03-10,Station7,In The Lab,0,2340018,5151,1,121212,Train,Nuke,Dust2,Overpass,Vertigo,Inferno,0.0,0.0,Mirage
2020-03-10,Infinity,Divine,0,2340017,5151,1,121212,Overpass,Vertigo,Dust2,Train,Nuke,Inferno,0.0,0.0,Mirage
2020-03-10,TeamOne,Swole Identity,0,2340231,5151,1,121212,Vertigo,Inferno,Mirage,Nuke,Dust2,Train,0.0,0.0,Overpass
2020-03-10,Big Frames,Bad News Bears,0,2340233,5151,1,121212,Inferno,Dust2,Train,Vertigo,Mirage,Overpass,0.0,0.0,Nuke
2020-03-10,ex-eUnited,TeamOne,0,2340238,5151,1,121212,Mirage,Dust2,Nuke,Inferno,Vertigo,Overpass,0.0,0.0,Train
2020-03-10,Monstars,Rugratz,1,2340234,5151,1,121212,Nuke,Vertigo,Train,Inferno,Dust2,Overpass,0.0,0.0,Mirage
2020-03-10,New England Whalers,Oceanus,1,2340015,5151,1,121212,Dust2,Vertigo,Train,Inferno,Overpass,Mirage,0.0,0.0,Nuke
2020-03-10,Recon 5,In The Lab,1,2340228,5151,1,121212,Mirage,Dust2,Inferno,Overpass,Vertigo,Nuke,0.0,0.0,Train
2020-03-10,Thunder Logic,ex-eUnited,1,2340230,5151,1,121212,Vertigo,Train,Overpass,Mirage,Inferno,Dust2,0.0,0.0,Nuke
2020-03-10,Rugratz,Under 21,1,2340226,5151,1,121212,Inferno,Mirage,Nuke,Overpass,Train,Vertigo,0.0,0.0,Dust2
2020-03-10,Recon 5,Station7,1,2340019,5151,1,121212,Mirage,Overpass,Dust2,Train,Vertigo,Nuke,0.0,0.0,Inferno
2020-03-10,TeamOne,Infinity,0,2340016,5151,1,121212,Mirage,Inferno,Vertigo,Nuke,Dust2,Overpass,0.0,0.0,Train
2020-03-10,Yeah,Envy,0,2340201,5178,3,123412,Vertigo,Mirage,0.0,Nuke,Dust2,0.0,Inferno,Overpass,Train
2020-03-10,Monstars,Divine,1,2340235,5151,1,121212,Dust2,Vertigo,Mirage,Nuke,Train,Overpass,0.0,0.0,Inferno
2020-03-10,Paradox,Ground Zero,0,2340193,5236,3,123412,Nuke,Vertigo,0.0,Train,Dust2,0.0,Inferno,Mirage,Overpass
2020-03-10,AGO,Nordavind,0,2340218,5150,1,121212,Overpass,Nuke,Vertigo,Train,Inferno,Dust2,0.0,0.0,Mirage
2020-03-10,Demolition Crew,Illuminar,0,2340217,5150,1,121212,Overpass,Vertigo,Train,Dust2,Inferno,Mirage,0.0,0.0,Nuke
2020-03-10,BIG,Sprout,0,2340214,5150,1,121212,Train,Dust2,Vertigo,Overpass,Inferno,Nuke,0.0,0.0,Mirage
2020-03-10,PACT,Spirit,1,2340213,5150,1,121212,Mirage,Dust2,Nuke,Vertigo,Overpass,Train,0.0,0.0,Inferno
2020-03-10,New England Whalers,In The Lab,1,2340020,5151,1,121212,Train,Dust2,Mirage,Overpass,Nuke,Vertigo,0.0,0.0,Inferno
2020-03-10,PACT,BIG,0,2339723,5150,1,121212,Mirage,Inferno,Nuke,Train,Overpass,Vertigo,0.0,0.0,Dust2
2020-03-10,HellRaisers,Nemiga,1,2340211,5150,1,121212,Nuke,Dust2,Vertigo,Train,Overpass,Mirage,0.0,0.0,Inferno
2020-03-10,Chiefs,PC419,1,2340206,5152,1,121212,Mirage,Overpass,Dust2,Train,Nuke,Vertigo,0.0,0.0,Inferno
2020-03-10,Rooster,Chiefs,0,2340192,5236,3,123412,Nuke,Dust2,0.0,Overpass,Vertigo,0.0,Inferno,Mirage,Train
2020-03-10,Incept,Formidable,1,2340210,5152,1,121212,Train,Inferno,Nuke,Mirage,Vertigo,Overpass,0.0,0.0,Dust2
2020-03-10,Airborne,PC419,1,2340209,5152,1,121212,Dust2,Mirage,Vertigo,Train,Inferno,Overpass,0.0,0.0,Nuke
2020-03-10,AVANT,Skyfire,1,2340208,5152,1,121212,Vertigo,Overpass,Inferno,Dust2,Nuke,Train,0.0,0.0,Mirage
2020-03-10,Paradox,AVANT,1,2339886,5152,1,121212,Nuke,Overpass,Dust2,Vertigo,Mirage,Inferno,0.0,0.0,Train
2020-03-09,Infinity,New England Whalers,1,2340011,5151,1,121212,Overpass,Vertigo,Nuke,Dust2,Mirage,Train,0.0,0.0,Inferno
2020-03-09,Monstars,Recon 5,1,2340198,5151,1,121212,Mirage,Overpass,Dust2,Nuke,Vertigo,Train,0.0,0.0,Inferno
2020-03-09,Monstars,TeamOne,1,2340012,5151,1,121212,Nuke,Dust2,Vertigo,Inferno,Overpass,Train,0.0,0.0,Mirage
2020-03-09,Infinity,Station7,0,2340013,5151,1,121212,Nuke,Mirage,Overpass,Train,Vertigo,Dust2,0.0,0.0,Inferno
2020-03-09,Thunder Logic,Recon 5,0,2340199,5151,1,121212,Inferno,Vertigo,Train,Mirage,Dust2,Overpass,0.0,0.0,Nuke
2020-03-09,Big Frames,New England Whalers,1,2340014,5151,1,121212,Train,Inferno,Mirage,Vertigo,Dust2,Overpass,0.0,0.0,Nuke
2020-03-09,I sleep,Rooster,1,2339832,5152,1,121212,Train,Mirage,Overpass,Nuke,Dust2,Vertigo,0.0,0.0,Inferno
2020-03-09,Envy,Chaos,0,2340187,5178,3,123412,Nuke,Inferno,0.0,Train,Vertigo,0.0,Mirage,Dust2,Overpass
2020-03-09,Ze Pug Godz,Yeah,0,2340186,5178,3,123412,Train,Dust2,0.0,Vertigo,Overpass,0.0,Inferno,Nuke,Mirage
2020-03-09,Ground Zero,ORDER,1,2339978,5236,3,123412,Train,Dust2,0.0,Overpass,Inferno,0.0,Mirage,Vertigo,Nuke
