danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist,track_id
0.653,0.82,5,-5.324,0,0.0849,0.0546,6.14e-05,0.151,0.571,196.003,171307,False,3,Arrepentido,Flor De Tabaco,2rgYVVNREzDSWBjeCQAWav
0.309,0.605,2,-6.122,1,0.0395,0.622,0.0,0.0913,0.268,199.883,246747,False,1,Cobarde - Balada,Flor De Tabaco,0H4YGVs0wleQ1Srj0BIeV6
0.683,0.729,4,-5.989,1,0.0293,0.00236,4.01e-05,0.0742,0.501,121.933,189836,False,11,Reality - MÖWE Radio Edit,Lost Frequencies,1wKsrUrVoI0wg9DBsxZwYR
0.658,0.811,4,-6.523,1,0.0258,0.00229,0.000503,0.109,0.673,122.014,192049,False,5,Reality - Androma Radio Edit,Lost Frequencies,2urjUjNghAKLfqRAzMnDaz
0.699,0.557,1,-8.166,0,0.0619,0.0392,2.52e-05,0.101,0.25,129.98,177509,False,7,Reality - Hitimpulse Remix,Lost Frequencies,6HCKNroWUNCHNRUc9aJe9k
0.752,0.603,10,-8.368,0,0.13,0.0083,0.0,0.243,0.253,127.98,182000,True,14,Inside Of Me,TG,01yKxwsZ36Wi2xo1L3UTnw
0.824,0.593,5,-8.579,0,0.0485,0.0614,0.00103,0.19,0.859,111.97,258316,False,14,Yüce Dag Basinda,Altin Gün,4He9bNEbK9Au82pcbCZumy
0.855,0.488,8,-10.591,1,0.473,0.06,0.0,0.107,0.7,134.667,142272,True,3,Killas Wit Me,Chv TopSoulja,4P75LbUsLoVo4vTGGc5F0T
0.678,0.754,11,-6.043,1,0.284,0.018,0.0,0.16,0.143,145.237,165068,True,3,Petty Ma,Chv TopSoulja,1gi73K175GHsAKBapl2i4D
0.861,0.575,4,-10.465,1,0.342,0.00463,0.0,0.112,0.484,124.036,141819,True,8,See What I See,Chv TopSoulja,48yPGCUoOqzPhSlOCq07q5
0.711,0.719,9,-8.559,0,0.324,0.0272,0.0,0.0597,0.438,133.021,180924,True,2,Free Gizmo,Chv TopSoulja,0DPOGsD9ZvahcORTfaVF2K
0.73,0.561,1,-7.004,1,0.315,0.00154,2.08e-05,0.0952,0.313,135.867,146184,True,2,1-4 Wards,Chv TopSoulja,6M7wrJYiDhPVnfgwtYsgXs
0.706,0.605,7,-10.323,1,0.379,0.195,0.0,0.123,0.391,140.043,169152,True,2,Double R,Chv TopSoulja,7GAa7OFUckt5rIp4BgPf2W
0.708,0.558,1,-8.816,0,0.273,0.133,0.0,0.18,0.162,130.01,137012,True,2,Opp Baby Muva,Chv TopSoulja,3QMIHDQZNXiXg1Np6fpDs0
0.935,0.579,10,-6.812,0,0.413,0.113,0.0,0.123,0.505,124.047,185574,True,2,Drac Bust,Chv TopSoulja,51UuVaaimd0ibXZYgEhTPl
0.792,0.558,8,-7.195,1,0.12,0.0515,4.83e-05,0.155,0.225,129.95,164258,True,1,We On The Wrong Way,Chv TopSoulja,3UPoQyW8ayT7diGFGIZGhU
0.87,0.51,9,-9.125,1,0.314,0.0879,0.0,0.0754,0.559,130.028,162952,True,1,Who We Are,Chv TopSoulja,71Zmfxg2tT6q5DQGNFXjxT
0.815,0.372,9,-14.909,1,0.161,0.785,0.0,0.175,0.592,125.013,124248,True,1,Off The Top,Chv TopSoulja,0gBJgfjI7YAGD13YbuLkHB
0.662,0.547,1,-9.077,1,0.262,0.000665,0.0,0.0568,0.4,118.649,133176,True,1,Solider Flow,Chv TopSoulja,3tfPreRK9759PfF6m91oOD
0.827,0.643,11,-11.035,1,0.443,0.135,1.71e-06,0.356,0.064,139.955,170344,True,0,C4,Chv TopSoulja,45hFZRhwOTOkjdt8EgWHu0
0.79,0.942,7,-10.115,1,0.0406,0.0513,0.902,0.122,0.922,120.057,178000,False,14,J Dance,Dan Griffith,1nw99S1jWc6DROSnLvE7y6
0.286,0.109,7,-14.454,1,0.0319,0.881,2.6e-05,0.174,0.147,101.345,255880,False,8,It's In Everyone Of Us,David Pomeranz,7CPksmsk21SRZz94gwYG7Z
0.736,0.63,2,-8.092,1,0.0266,0.605,0.000379,0.209,0.685,112.267,193080,False,2,Thea,David Pomeranz,0m6Nm8baObuPOG8Qn9Nuu1
0.497,0.341,7,-10.147,1,0.0299,0.848,0.000822,0.0977,0.262,134.221,260640,False,1,Tryin To Get The Feeling Again,David Pomeranz,6acFl68OEmMWHwijwOowwI
0.426,0.537,2,-9.2,1,0.0281,0.621,3.04e-05,0.343,0.407,126.611,287000,False,2,The Hit Song Of All Time,David Pomeranz,7hFhWWFDut7QmRprWiz9Tm
0.501,0.133,0,-17.199,1,0.0286,0.852,0.0,0.603,0.373,105.138,176520,False,2,Flying,David Pomeranz,7EzPIX2Ri63FTHisKYEdI1
0.618,0.457,9,-11.848,1,0.196,0.191,1.6e-05,0.614,0.781,92.313,275253,False,2,Greyhound Mary,David Pomeranz,1Dhlga5tWMTZbKnrXnNGTH
0.485,0.262,4,-12.192,1,0.0286,0.742,0.0104,0.123,0.179,128.629,207653,False,7,If You Walked Away,David Pomeranz,7tC9Sc2WO9APELSA8IxnLw
0.732,0.565,0,-10.573,1,0.0266,0.393,0.00584,0.0451,0.773,106.853,246787,False,2,High Together,David Pomeranz,0kO5S3tY6oIk1cLVZ3bFmv
0.708,0.389,0,-13.768,1,0.118,0.305,3.66e-06,0.0807,0.483,98.698,106627,False,1,Home To Alaska,David Pomeranz,0inIpxWP4hNSxyu541Bp5S
0.358,0.0941,4,-13.537,1,0.0314,0.941,9.49e-06,0.117,0.158,103.081,349533,False,0,Clarence,David Pomeranz,2uDjKoHo8kN4o9mdb3P34E
0.267,0.905,7,-8.989,1,0.0568,0.00645,0.0529,0.981,0.437,116.278,319427,False,5,Pay No Mind,Ian Moore,3erxlf8zMnZ8tEAQlzaXaL
0.288,0.761,4,-9.461,1,0.0475,0.012,0.00479,0.934,0.419,174.133,317067,False,5,Satisfied,Ian Moore,3pUHoXlGEWxUwORpciqABw
0.273,0.739,0,-9.644,1,0.0683,0.0623,6.62e-05,0.981,0.377,83.865,407240,False,3,Deliver Me,Ian Moore,0PLK4NELLJ4HgZvhkFerFM
0.368,0.413,7,-11.271,1,0.0303,0.111,0.000412,0.991,0.293,141.265,608360,False,6,"Blue Sky / Abraham, Martin & John",Ian Moore,5qIK0U6yGiqKu2Tg5G3mI5
0.42,0.871,9,-10.062,0,0.0558,0.0182,0.044,0.953,0.417,106.592,432133,False,8,Me and My Guitar,Ian Moore,2vAUh5vX74JjAUF1V9Zmey
0.295,0.709,9,-10.447,0,0.0568,0.00178,0.701,0.964,0.11,125.435,722213,False,10,"Trilogy: The Sunlit Path / La Mere De La Mer / Tomorrow's Story Not the Same - Live in Central Park, New York, NY - August 1973",Mahavishnu Orchestra,5a6PnqMw1KNogb2IJs4Ue7
0.232,0.666,9,-9.877,0,0.0452,0.00245,0.807,0.975,0.278,88.123,592600,False,8,"Sister Andrea - Live in Central Park, New York, NY - August 1973",Mahavishnu Orchestra,1g9DYdMzYoWEtQDtZSfh8i
0.352,0.547,4,-10.674,0,0.0681,0.0101,0.807,0.668,0.131,128.283,1281613,False,7,"Dream - Live in Central Park, New York, NY - August 1973",Mahavishnu Orchestra,1RGjTXG7uBUjMKu0FVzjf7
0.59,0.311,1,-17.081,0,0.0398,0.0583,0.916,0.122,0.398,83.978,182883,False,3,Triple Sevens,Blackjesus Yoshua,4bsPlHVbqZt7IU7suSAF7p
0.706,0.259,6,-12.442,1,0.0746,0.0322,0.926,0.109,0.483,188.0,207517,False,1,Air Dry Her,Blackjesus Yoshua,3ON2h9QmLviyaqCKfVBInM
0.677,0.478,6,-14.429,1,0.0555,0.000186,0.915,0.12,0.557,89.996,192235,False,3,Warrior Lahmu,Blackjesus Yoshua,4yiJbPDqOxs27BgZpG5PAc
0.847,0.363,7,-10.261,1,0.0908,0.000926,0.89,0.0943,0.664,120.051,200359,False,5,All the Game,Blackjesus Yoshua,2VL5LLnvPGz6po5oOIwykT
0.779,0.402,5,-13.939,0,0.0652,0.00751,0.777,0.0881,0.776,102.053,225933,False,1,Skunkdafunk,Blackjesus Yoshua,6yiXlE7AibfPSstGzDJgTP
0.761,0.332,2,-12.949,1,0.0559,0.000291,0.874,0.137,0.767,120.031,208039,False,2,Big Rapids Theme,Blackjesus Yoshua,4q73FKpNQgqUYVtDyoqDry
0.714,0.348,9,-12.651,1,0.0382,0.00489,0.933,0.136,0.435,119.996,212741,False,3,Shaitanic Books,Blackjesus Yoshua,1c8vbtUca2zpVa3iSQE4Nm
0.615,0.461,1,-12.81,0,0.0323,0.0846,0.808,0.123,0.41,124.061,194168,False,2,Bowling Pins,Blackjesus Yoshua,0cu0Xg1UWxQ3XgCCda7IfO
0.5,0.427,9,-13.36,1,0.03,0.000137,0.832,0.169,0.165,187.969,245133,False,3,Neo's New Bass City,Blackjesus Yoshua,3iSwUpPOuTNx6jPo9TnCdL
0.8,0.36,4,-17.801,0,0.168,0.035,0.813,0.32,0.605,138.04,182282,False,1,Doctor Doug's Experiment,Blackjesus Yoshua,1LopAd8ydR61jezG7GkdKc
0.708,0.418,0,-16.249,1,0.0428,0.457,0.885,0.113,0.11,112.01,212140,False,2,Native American Property,Blackjesus Yoshua,69sYfBeqkPVCGsS3SQGjrB
0.722,0.382,2,-15.882,1,0.0461,0.0616,0.857,0.0815,0.363,120.024,200359,False,2,Mind of a Criminal,Blackjesus Yoshua,3oIMjN1FTSTjgB30iud4Wn
0.631,0.373,0,-12.12,1,0.0407,0.479,0.331,0.34,0.237,180.054,234397,False,3,My Loving Spirit,Blackjesus Yoshua,0pwnFVMcl4NjhRyqK5tONy
0.487,0.401,9,-14.647,1,0.359,0.0223,4.29e-06,0.0779,0.122,77.747,111491,True,15,Demontime,757babyglock,7CbPNEr8vtjL9VR7sUozjS
0.802,0.506,9,-8.635,0,0.161,0.29,0.000635,0.156,0.386,150.048,218429,True,14,Don't Leave Me,Yung Shadøw,5pnJCau6pxNCzNEEiwiUtv
0.728,0.653,9,-12.777,1,0.0408,0.146,0.000282,0.103,0.965,117.845,237560,False,14,Magic,The Cars,4hqMk8ISgWo8r7rndwXfC2
0.796,0.675,5,-12.777,1,0.0293,0.0144,0.000949,0.107,0.761,131.009,196667,False,4,I Refuse,The Cars,6Sy94SC7O6I14gtamygRAk
0.732,0.416,10,-20.573,0,0.0413,0.000716,0.882,0.0833,0.967,92.696,194416,False,14,Frosty Night,KingJa,5zL1zyCMEjUPEqJOvjQNTT
0.805,0.721,6,-3.718,0,0.387,0.212,0.000247,0.112,0.786,180.079,218305,False,14,Ire,KayFresh,6RenBwsTCMIWr0UK6aQ2Oz
0.855,0.545,7,-11.331,1,0.104,0.0119,0.736,0.0876,0.323,100.032,134399,False,14,E-Cumbia,Noob_Memeus,0uqHw0ZTqeGnIufFieLoyK
0.473,0.847,0,-8.584,1,0.043,0.00176,8.71e-06,0.0459,0.801,162.686,246507,False,4,Bravi Ragazzi (Bravo Muchachos),Miguel Bosé,4wycYbBBiWOEG8QDSimQu0
0.583,0.61,0,-9.817,1,0.0262,0.127,0.0,0.139,0.467,92.171,164267,False,2,Ce la fai,Miguel Bosé,08sEyVIXaYe1kwq9UJSRZk
0.543,0.802,9,-11.778,0,0.0689,0.024,2.38e-06,0.0667,0.697,145.168,186827,False,0,Olympic Games (Voy A Ganar),Miguel Bosé,18XE7PhBmqSo2NaWZbRsqq
0.484,0.411,5,-17.568,1,0.0328,0.187,0.0008,0.368,0.348,87.834,236533,False,0,Credo En Ti,Miguel Bosé,1BzpuhUcww3VpS17CrtAPt
0.377,0.882,4,-8.502,1,0.0491,0.257,0.0,0.338,0.743,185.549,206933,False,0,Piu' Sexy,Miguel Bosé,3W50sa1Twg0u4fXnwpAZAZ
0.704,0.596,2,-12.177,0,0.0314,0.0334,0.0161,0.0956,0.94,127.524,276667,False,12,Anna (Ana),Miguel Bosé,7B283FHU7hIkHlPr1MMcii
0.676,0.783,2,-10.104,1,0.061,0.419,1.44e-05,0.186,0.911,134.087,228907,False,0,Metropoli (Metropolis),Miguel Bosé,7j2jx7L1dbkA0WxyMhbT1Q
0.718,0.565,2,-13.103,1,0.0317,0.0877,0.0136,0.0842,0.721,131.147,248693,False,0,Indio,Miguel Bosé,4aQaJ8rVlmmVwmxfon37ce
0.523,0.397,3,-13.776,1,0.0332,0.168,0.0,0.177,0.414,75.135,204600,False,3,Ti Amero' (Te Amarè),Miguel Bosé,2onJ5H0eWjwMJ974jFijpl
0.511,0.544,7,-15.654,0,0.0291,0.000563,0.222,0.375,0.715,161.281,245707,False,0,Miraggi,Miguel Bosé,3qLx3PW9FY9rLGQOieWMPF
0.43,0.323,3,-10.217,1,0.0321,0.8,0.0,0.133,0.237,124.265,219000,False,0,Al Di La' (Mas Allà),Miguel Bosé,5QCmKdyowrHPaHnr5HTVeZ
0.708,0.869,2,-11.908,1,0.0339,0.0159,0.521,0.178,0.886,136.539,219800,False,0,Súper Supermán,Miguel Bosé,7HIpMMsxWXaeMQ48tULESR
0.521,0.465,5,-12.334,1,0.0371,0.607,0.0,0.452,0.829,77.992,99667,False,0,Buona Notte Fiorellino,Miguel Bosé,2bwmutSx2Stra2JHj4yi93
0.585,0.393,9,-11.396,1,0.0294,0.501,0.000434,0.312,0.369,135.387,284867,False,0,Gente Come Noi,Miguel Bosé,5SReS8glTZTTLBGQMJJS15
0.573,0.809,9,-9.005,1,0.0485,0.0458,0.00161,0.285,0.619,108.962,280760,False,0,Sono Amici (Son Amigos),Miguel Bosé,3E3NazVf8x52SsmXd0KhjS
0.549,0.755,2,-12.467,0,0.031,0.000246,0.0205,0.193,0.75,158.758,242267,False,0,Che Sia,Miguel Bosé,4B6SSk9eSryPm3ucSoH8jg
0.218,0.897,4,-6.102,0,0.0717,2.6e-06,0.857,0.411,0.127,75.726,167535,False,5,Crossing Stars,DXM,4ipKfnmUOEXy9AfSt8nM1E
0.25,0.824,7,-6.489,1,0.165,1.07e-05,0.161,0.555,0.286,140.199,142082,False,5,"The Torn, Withered, and Self Medicated",DXM,4rvx40wKjymAeXNUUxihcV
0.308,0.828,6,-6.202,0,0.0609,8.04e-05,0.00236,0.332,0.702,81.59,128805,False,5,A Concious Action,DXM,1jw8pE3dAXjvVrnGpStsMk
0.212,0.931,9,-6.14,1,0.261,7.42e-06,0.0257,0.346,0.71,83.553,134681,False,5,The Virus,DXM,0HbqnFdNF7SaXbouKydVc8
0.257,0.759,0,-6.454,1,0.0686,9.7e-06,0.775,0.205,0.244,74.29,283683,False,5,Surrender,DXM,7xKe1nDLTvPyDr6RuldSxq
0.388,0.797,5,-2.03,1,0.03,0.127,0.0,0.174,0.397,151.23,158907,False,2,Cien Abriles,Guardianes Del Amor,1B68B5kEv8M0aQewGTw0dF
0.667,0.739,4,-3.02,0,0.0482,0.724,2.72e-06,0.287,0.815,78.822,190560,False,3,Amor Se Escribe Con Llanto,Guardianes Del Amor,7BhX2fG4FQceYSrqtPSNri
0.697,0.923,5,-2.866,1,0.228,0.683,1.95e-06,0.0908,0.961,158.126,218267,False,1,"El Perro, el Gato y Yo",Guardianes Del Amor,6fkvAMbrMDbyxEDQDXohMr
0.516,0.784,4,-4.137,1,0.0281,0.0226,0.0,0.327,0.375,78.014,244467,False,1,Palabras Tristes,Guardianes Del Amor,4z93vwN56JnzVlXVv6oKtK
0.619,0.903,4,-4.005,1,0.141,0.26,0.0,0.111,0.933,166.028,216653,False,4,Corazón Romántico,Guardianes Del Amor,3nmVQq2I88mRjrA6OwmBn3
0.77,0.749,2,-7.429,0,0.0512,0.0732,3.53e-05,0.0476,0.84,80.985,207640,False,2,Adios Con Adios Se Paga,Guardianes Del Amor,2kVvFKoSzBawpK15AgzKuB
0.378,0.603,2,-4.23,1,0.0431,0.177,0.0,0.107,0.232,169.59,196693,False,4,Mi Tesoro,Guardianes Del Amor,7zvIJwVNW8OE3CwgV7o6uX
0.558,0.577,4,-5.196,1,0.0344,0.194,0.0,0.108,0.29,85.014,218173,False,5,Un Pedazo de Luna,Guardianes Del Amor,521VecGSgB9IHdp73vT7c9
0.438,0.681,0,-3.288,1,0.0269,0.389,0.0,0.254,0.674,169.41,230240,False,2,Los Ángeles Lloran,Guardianes Del Amor,2ATkO1zHEu27g3VsWC4F4c
0.54,0.691,2,-5.395,1,0.0435,0.104,6.23e-06,0.272,0.621,173.356,227427,False,5,Dejame Secar Tus Lagrimas,Guardianes Del Amor,4DrBKLEPiJW5cQGfQLkOCj
0.321,0.404,9,-8.994,0,0.033,0.957,0.00116,0.108,0.159,65.74,162506,False,1,Winter’s Beach,Django Django,4xGWqGYH6Kojgj2Gg3GNqY
0.638,0.754,8,-6.002,1,0.0263,0.00585,0.00218,0.143,0.465,109.987,247734,False,7,Sand Dunes,Django Django,6XuvZlhZhq6kDBaWd2O07k
0.826,0.811,0,-7.123,1,0.0492,0.0792,0.0,0.362,0.85,135.023,176161,False,2,Swimming at Night,Django Django,7rSrhS0IRnqwG97mHs8smn
